Date,Open,High,Low,Close,Volume,Adj Close
2015-04-23,27.87,28.05,27.60,27.92,274700,27.92
2015-04-22,28.14,28.14,27.80,28.08,13600,28.08
2015-04-21,28.10,28.26,28.10,28.22,20300,28.22
2015-04-20,27.72,28.15,27.72,27.98,9900,27.98
2015-04-17,28.05,28.05,27.533,27.721,30400,27.721
2015-04-16,28.66,28.66,28.15,28.30,18000,28.30
2015-04-15,28.83,28.83,28.51,28.69,20900,28.69
2015-04-14,28.84,28.84,28.614,28.69,14900,28.69
2015-04-13,28.96,28.96,28.50,28.57,25900,28.57
2015-04-10,28.52,28.86,28.52,28.86,27700,28.86
2015-04-09,28.87,28.87,28.46,28.545,18300,28.545
2015-04-08,28.90,28.90,28.45,28.618,15700,28.618
2015-04-07,29.15,29.15,28.673,28.673,23200,28.673
2015-04-06,28.63,28.97,28.63,28.90,39600,28.90
2015-04-02,28.64,29.20,28.56,28.65,68700,28.65
2015-04-01,28.41,28.49,28.22,28.46,63900,28.46
2015-03-31,28.33,28.40,28.10,28.22,30100,28.22
2015-03-30,28.93,28.93,28.48,28.76,13700,28.76
2015-03-27,28.41,28.49,28.229,28.45,35900,28.45
2015-03-26,28.50,28.50,28.07,28.41,22900,28.41
2015-03-25,29.18,29.18,28.53,28.59,38000,28.59
2015-03-24,28.50,28.83,28.50,28.74,7300,28.74
2015-03-23,28.65,28.65,28.42,28.63,20800,28.63
2015-03-20,28.27,28.73,28.27,28.65,57100,28.65
2015-03-19,28.37,28.37,27.67,27.78,31600,27.78
2015-03-18,27.93,28.35,27.76,28.35,48500,28.35
2015-03-17,28.47,28.47,27.851,27.94,112000,27.94
2015-03-16,27.82,28.45,27.82,28.40,100800,28.40
2015-03-13,27.80,27.80,27.20,27.55,41400,27.55
2015-03-12,28.04,28.04,27.45,27.74,32300,27.74
2015-03-11,27.42,27.54,27.24,27.41,25700,27.41
2015-03-10,27.69,27.69,27.04,27.11,12700,27.11
2015-03-09,28.19,28.19,27.54,27.71,10500,27.71
2015-03-06,28.04,28.04,27.40,27.49,12300,27.49
2015-03-05,27.918,27.95,27.77,27.81,15900,27.81
2015-03-04,27.58,27.83,27.441,27.80,8700,27.80
2015-03-03,28.59,28.59,27.74,27.80,9400,27.80
2015-03-02,28.56,28.56,27.784,28.13,37700,28.13
2015-02-27,28.01,28.11,27.796,28.021,15800,28.021
2015-02-26,27.90,27.95,27.81,27.842,11600,27.842
2015-02-25,27.98,28.03,27.85,28.03,20100,28.03
2015-02-24,27.86,28.02,27.67,27.972,32800,27.972
2015-02-23,28.03,28.03,27.66,27.74,18000,27.74
2015-02-20,27.27,27.944,27.27,27.86,22200,27.86
2015-02-19,27.338,27.57,27.338,27.46,6400,27.46
2015-02-18,27.39,27.42,27.29,27.42,1700,27.42
2015-02-17,27.88,27.88,27.20,27.373,57100,27.373
2015-02-13,28.00,28.00,27.43,27.55,56200,27.55
2015-02-12,26.99,27.53,26.98,27.53,15200,27.53
2015-02-11,26.758,26.758,26.653,26.653,1200,26.653
2015-02-10,26.769,26.807,26.56,26.80,7600,26.80
2015-02-09,26.32,26.60,26.32,26.55,20300,26.55
2015-02-06,27.36,27.36,26.732,26.83,30600,26.83
2015-02-05,27.20,27.797,27.20,27.56,7300,27.56
2015-02-04,27.67,27.67,27.03,27.14,80800,27.14
2015-02-03,27.89,27.89,27.39,27.668,52300,27.668
2015-02-02,27.06,27.15,26.85,27.13,11700,27.13
2015-01-30,26.98,26.98,26.407,26.50,19800,26.50
2015-01-29,26.48,27.00,26.48,26.973,35300,26.973
2015-01-28,26.679,26.825,26.50,26.50,8000,26.50
2015-01-27,26.66,26.769,26.579,26.669,11500,26.669
2015-01-26,26.46,26.91,26.46,26.85,14900,26.85
2015-01-23,26.87,26.87,26.23,26.23,106100,26.23
2015-01-22,26.21,26.44,26.178,26.32,93600,26.32
2015-01-21,26.20,26.20,26.092,26.092,600,26.092
2015-01-20,26.21,26.21,26.169,26.177,900,26.177
2015-01-16,25.864,26.12,25.864,26.12,1500,26.12
2015-01-15,25.955,25.955,25.747,25.747,400,25.747
2015-01-14,25.53,25.53,25.53,25.53,000,25.53
2015-01-13,25.82,25.842,25.53,25.53,1800,25.53
2015-01-12,26.00,26.00,25.29,25.45,1900,25.45
2015-01-09,25.58,25.58,25.58,25.58,000,25.58
2015-01-08,25.44,25.58,25.44,25.58,1200,25.58
2015-01-07,24.88,24.88,24.88,24.88,100,24.88
2015-01-06,24.88,24.88,24.88,24.88,000,24.88
2015-01-05,25.85,25.85,24.88,24.88,2700,24.88
2015-01-02,26.163,26.163,26.163,26.163,000,26.163
