Date,Open,High,Low,Close,Volume,Adj Close
2015-04-22,7062.8999,7092.2998,6997.2002,7028.2002,785146300,7028.2002
2015-04-21,7052.1001,7105.1001,7030.00,7062.8999,655787700,7062.8999
2015-04-20,6994.6001,7067.7998,6994.6001,7052.1001,583888000,7052.1001
2015-04-17,7060.50,7093.50,6979.2998,6994.6001,776519900,6994.6001
2015-04-16,7096.7998,7119.3999,7057.7002,7060.50,750900800,7060.50
2015-04-15,7075.2998,7111.7002,7058.2998,7096.7998,722590500,7096.7998
2015-04-14,7064.2998,7086.1001,7044.6001,7075.2998,669927300,7075.2998
2015-04-13,7089.7998,7089.7998,7046.7002,7064.2998,592637100,7064.2998
2015-04-10,7015.3999,7095.3999,7015.3999,7089.7998,801926500,7089.7998
2015-04-09,6937.3999,7017.00,6937.3999,7015.3999,698600800,7015.3999
2015-04-08,6961.7998,7012.1001,6931.6001,6937.3999,865524000,6937.3999
2015-04-07,6833.50,6967.7002,6833.50,6961.7998,704104300,6961.7998
2015-04-02,6809.50,6849.8999,6801.2998,6833.50,575894800,6833.50
2015-04-01,6773.00,6856.3999,6765.3999,6809.50,800482200,6809.50
2015-03-31,6891.3999,6910.1001,6765.1001,6773.00,900335700,6773.00
2015-03-30,6855.00,6914.6001,6855.00,6891.3999,639393900,6891.3999
2015-03-27,6895.2998,6910.6001,6839.8999,6855.00,736697300,6855.00
2015-03-26,6991.00,6991.00,6876.7998,6895.2998,936518300,6895.2998
2015-03-25,7019.7002,7035.1001,6983.8999,6991.00,645837600,6991.00
2015-03-24,7037.7002,7065.1001,7012.50,7019.7002,702620900,7019.7002
2015-03-23,7022.50,7037.7002,6991.3999,7037.7002,673591200,7037.7002
2015-03-20,6962.2998,7024.2002,6960.7998,7022.50,1419421400,7022.50
2015-03-19,6945.2002,6982.7998,6929.7002,6962.2998,809174400,6962.2998
2015-03-18,6837.6001,6945.2002,6837.2998,6945.2002,772632700,6945.2002
2015-03-17,6804.1001,6846.8999,6798.50,6837.6001,757362800,6837.6001
2015-03-16,6740.6001,6809.1001,6740.6001,6804.1001,685731900,6804.1001
2015-03-13,6761.1001,6777.7998,6713.50,6740.6001,710321200,6740.6001
2015-03-12,6721.50,6799.7998,6721.50,6761.1001,845927100,6761.1001
2015-03-11,6702.7998,6739.00,6693.7998,6721.50,746833900,6721.50
2015-03-10,6876.50,6876.8999,6702.7998,6702.7998,887272000,6702.7998
2015-03-09,6911.7998,6911.7998,6859.7998,6876.50,670579200,6876.50
2015-03-06,6961.1001,6961.2002,6911.7998,6911.7998,748637900,6911.7998
2015-03-05,6919.2002,6968.6001,6914.1001,6961.1001,798406800,6961.1001
2015-03-04,6889.1001,6919.2002,6862.8999,6919.2002,741168200,6919.2002
2015-03-03,6940.6001,6963.6001,6889.1001,6889.1001,784037600,6889.1001
2015-03-02,6946.7002,6974.2998,6924.2998,6940.6001,778879400,6940.6001
2015-02-27,6949.7002,6967.2002,6929.7998,6946.7002,881579100,6946.7002
2015-02-26,6935.3999,6950.00,6920.50,6949.7002,782087000,6949.7002
2015-02-25,6949.6001,6955.3999,6904.8999,6935.3999,697704800,6935.3999
2015-02-24,6912.2002,6958.8999,6899.6001,6949.6001,831640000,6949.6001
2015-02-23,6915.2002,6943.6001,6885.8999,6912.2002,680805600,6912.2002
2015-02-20,6888.8999,6920.50,6884.7998,6915.2002,764028800,6915.2002
2015-02-19,6898.1001,6907.2998,6858.7002,6888.8999,641759700,6888.8999
2015-02-18,6898.1001,6921.2998,6876.2998,6898.1001,677405400,6898.1001
2015-02-17,6857.1001,6898.1001,6819.7998,6898.1001,612932700,6898.1001
2015-02-16,6873.50,6878.7002,6851.7998,6857.1001,415979100,6857.1001
2015-02-13,6828.1001,6887.6001,6828.1001,6873.50,734854200,6873.50
2015-02-12,6818.2002,6854.6001,6817.2002,6828.1001,809863300,6828.1001
2015-02-11,6829.1001,6838.2998,6786.1001,6818.2002,623275800,6818.2002
2015-02-10,6837.2002,6843.8999,6788.8999,6829.1001,773108400,6829.1001
2015-02-09,6853.3999,6853.3999,6778.00,6837.2002,620697200,6837.2002
2015-02-06,6865.8999,6886.2002,6835.50,6853.3999,648533700,6853.3999
2015-02-05,6860.00,6870.1001,6808.2002,6865.8999,731200400,6865.8999
2015-02-04,6871.7998,6883.50,6804.1001,6860.00,817845800,6860.00
2015-02-03,6782.6001,6886.2998,6782.3999,6871.7998,855708500,6871.7998
2015-02-02,6749.3999,6795.50,6732.00,6782.6001,757554400,6782.6001
2015-01-30,6810.6001,6844.00,6749.3999,6749.3999,799357300,6749.3999
2015-01-29,6825.8999,6825.8999,6750.2002,6810.6001,704517100,6810.6001
2015-01-28,6811.6001,6863.00,6777.1001,6825.8999,779603800,6825.8999
2015-01-27,6852.3999,6865.00,6773.50,6811.6001,713907000,6811.6001
2015-01-26,6832.7998,6855.8999,6790.1001,6852.3999,611915000,6852.3999
2015-01-23,6796.6001,6841.7002,6796.6001,6832.7998,839368300,6832.7998
2015-01-22,6728.00,6808.2002,6726.2002,6796.6001,926018400,6796.6001
2015-01-21,6620.1001,6728.00,6620.1001,6728.00,847589600,6728.00
2015-01-20,6585.50,6640.3999,6585.50,6620.1001,677002900,6620.1001
2015-01-19,6550.2998,6598.8999,6548.00,6585.50,537915700,6585.50
2015-01-16,6498.7998,6553.2002,6443.2998,6550.2998,805741900,6550.2998
2015-01-15,6388.50,6498.7998,6298.2002,6498.7998,980049600,6498.7998
2015-01-14,6542.2002,6542.2002,6353.7002,6388.50,971256900,6388.50
2015-01-13,6501.3999,6558.7998,6465.2002,6542.2002,673572900,6542.2002
2015-01-12,6501.1001,6542.3999,6447.8999,6501.3999,602313100,6501.3999
2015-01-09,6570.00,6570.2002,6471.3999,6501.1001,738488500,6501.1001
