Date,Open,High,Low,Close,Volume,Adj Close
2015-04-24,27893.20,27893.20,27893.20,27893.20,000,27893.20
2015-04-23,28008.80,28008.80,28008.80,28008.80,000,28008.80
2015-04-22,27888.90,27888.90,27888.90,27888.90,000,27888.90
2015-04-21,27646.20,27646.20,27646.20,27646.20,000,27646.20
2015-04-20,27036.50,27036.50,27036.50,27036.50,000,27036.50
2015-04-17,27843.00,27843.00,27843.00,27843.00,000,27843.00
2015-04-16,27579.10,27579.10,27579.10,27579.10,000,27579.10
2015-04-15,27723.80,27723.80,27723.80,27723.80,000,27723.80
2015-04-14,27709.30,27709.30,27709.30,27709.30,000,27709.30
2015-04-13,27758.90,27758.90,27758.90,27758.90,000,27758.90
2015-04-10,27064.10,27064.10,27064.10,27064.10,000,27064.10
2015-04-09,26944.40,26944.40,26944.40,26944.40,000,26944.40
2015-04-08,25910.20,25910.20,25910.20,25910.20,000,25910.20
2015-04-02,25275.60,25275.60,25275.60,25275.60,000,25275.60
2015-04-01,25082.80,25082.80,25082.80,25082.80,000,25082.80
2015-03-31,24900.90,24900.90,24900.90,24900.90,000,24900.90
2015-03-30,24855.10,24855.10,24855.10,24855.10,000,24855.10
2015-03-27,24486.20,24486.20,24486.20,24486.20,000,24486.20
2015-03-26,24482.70,24482.70,24482.70,24482.70,000,24482.70
2015-03-25,24516.90,24516.90,24516.90,24516.90,000,24516.90
2015-03-24,24403.90,24403.90,24403.90,24403.90,000,24403.90
2015-03-23,24494.50,24494.50,24494.50,24494.50,000,24494.50
2015-03-20,24375.20,24375.20,24375.20,24375.20,000,24375.20
2015-03-19,24468.90,24468.90,24468.90,24468.90,000,24468.90
2015-03-18,24120.10,24120.10,24120.10,24120.10,000,24120.10
2015-03-17,23901.50,23901.50,23901.50,23901.50,000,23901.50
2015-03-16,23949.60,23949.60,23949.60,23949.60,000,23949.60
2015-03-13,23823.20,23823.20,23823.20,23823.20,000,23823.20
2015-03-12,23798.00,23798.00,23798.00,23798.00,000,23798.00
2015-03-11,23718.00,23718.00,23718.00,23718.00,000,23718.00
2015-03-10,23897.00,23897.00,23897.00,23897.00,000,23897.00
2015-03-09,24123.10,24123.10,24123.10,24123.10,000,24123.10
2015-03-06,24164.00,24164.00,24164.00,24164.00,000,24164.00
2015-03-05,24193.00,24193.00,24193.00,24193.00,000,24193.00
2015-03-04,24465.40,24465.40,24465.40,24465.40,000,24465.40
2015-03-03,24702.80,24702.80,24702.80,24702.80,000,24702.80
2015-03-02,24887.40,24887.40,24887.40,24887.40,000,24887.40
2015-02-27,24823.30,24823.30,24823.30,24823.30,000,24823.30
2015-02-26,24902.10,24902.10,24902.10,24902.10,000,24902.10
2015-02-25,24778.30,24778.30,24778.30,24778.30,000,24778.30
2015-02-24,24750.10,24750.10,24750.10,24750.10,000,24750.10
2015-02-23,24836.80,24836.80,24836.80,24836.80,000,24836.80
2015-02-18,24832.10,24832.10,24832.10,24832.10,000,24832.10
2015-02-17,24784.90,24784.90,24784.90,24784.90,000,24784.90
2015-02-16,24726.50,24726.50,24726.50,24726.50,000,24726.50
2015-02-13,24682.50,24682.50,24682.50,24682.50,000,24682.50
2015-02-12,24422.20,24422.20,24422.20,24422.20,000,24422.20
2015-02-11,24315.00,24315.00,24315.00,24315.00,000,24315.00
2015-02-10,24528.10,24528.10,24528.10,24528.10,000,24528.10
2015-02-09,24521.00,24521.00,24521.00,24521.00,000,24521.00
2015-02-06,24679.40,24679.40,24679.40,24679.40,000,24679.40
2015-02-05,24765.50,24765.50,24765.50,24765.50,000,24765.50
2015-02-04,24679.80,24679.80,24679.80,24679.80,000,24679.80
2015-02-03,24554.80,24554.80,24554.80,24554.80,000,24554.80
2015-02-02,24484.70,24484.70,24484.70,24484.70,000,24484.70
2015-01-30,24507.10,24507.10,24507.10,24507.10,000,24507.10
2015-01-29,24595.80,24595.80,24595.80,24595.80,000,24595.80
2015-01-28,24861.80,24861.80,24861.80,24861.80,000,24861.80
2015-01-27,24807.30,24807.30,24807.30,24807.30,000,24807.30
2015-01-26,24909.90,24909.90,24909.90,24909.90,000,24909.90
2015-01-23,24850.40,24850.40,24850.40,24850.40,000,24850.40
2015-01-22,24522.60,24522.60,24522.60,24522.60,000,24522.60
2015-01-21,24352.60,24352.60,24352.60,24352.60,000,24352.60
2015-01-20,23951.20,23951.20,23951.20,23951.20,000,23951.20
2015-01-19,23738.50,23738.50,23738.50,23738.50,000,23738.50
2015-01-16,24103.50,24103.50,24103.50,24103.50,000,24103.50
2015-01-15,24350.90,24350.90,24350.90,24350.90,000,24350.90
2015-01-14,24112.60,24112.60,24112.60,24112.60,000,24112.60
2015-01-13,24216.00,24216.00,24216.00,24216.00,000,24216.00
2015-01-12,24026.50,24026.50,24026.50,24026.50,000,24026.50
2015-01-09,23919.90,23919.90,23919.90,23919.90,000,23919.90
2015-01-08,23835.50,23835.50,23835.50,23835.50,000,23835.50
2015-01-07,23681.30,23681.30,23681.30,23681.30,000,23681.30
2015-01-06,23485.40,23485.40,23485.40,23485.40,000,23485.40
2015-01-05,23721.30,23721.30,23721.30,23721.30,000,23721.30
2015-01-02,23857.80,23857.80,23857.80,23857.80,000,23857.80
