Date,Open,High,Low,Close,Volume,Adj Close
2015-04-06,971.08,971.08,971.08,971.08,000,971.08
2015-04-03,930.12,930.12,930.12,930.12,000,930.12
2015-04-02,933.58,933.58,933.58,933.58,000,933.58
2015-04-01,910.41,910.41,910.41,910.41,000,910.41
2015-03-31,880.42,880.42,880.42,880.42,000,880.42
2015-03-30,878.94,878.94,878.94,878.94,000,878.94
2015-03-27,856.44,856.44,856.44,856.44,000,856.44
2015-03-26,868.62,868.62,868.62,868.62,000,868.62
2015-03-25,882.07,882.07,882.07,882.07,000,882.07
2015-03-24,880.28,880.28,880.28,880.28,000,880.28
2015-03-23,859.14,859.14,859.14,859.14,000,859.14
2015-03-20,862.14,862.14,862.14,862.14,000,862.14
2015-03-19,847.99,847.99,847.99,847.99,000,847.99
2015-03-18,841.05,841.05,841.05,841.05,000,841.05
2015-03-17,822.76,822.76,822.76,822.76,000,822.76
2015-03-16,812.88,812.88,812.88,812.88,000,812.88
2015-03-13,833.57,833.57,833.57,833.57,000,833.57
2015-03-12,859.26,859.26,859.26,859.26,000,859.26
2015-03-11,847.98,847.98,847.98,847.98,000,847.98
2015-03-10,845.36,845.36,845.36,845.36,000,845.36
2015-03-06,903.45,903.45,903.45,903.45,000,903.45
2015-03-05,912.38,912.38,912.38,912.38,000,912.38
2015-03-04,889.68,889.68,889.68,889.68,000,889.68
2015-03-03,917.05,917.05,917.05,917.05,000,917.05
2015-03-02,903.56,903.56,903.56,903.56,000,903.56
2015-02-27,896.63,896.63,896.63,896.63,000,896.63
2015-02-26,911.98,911.98,911.98,911.98,000,911.98
2015-02-25,883.88,883.88,883.88,883.88,000,883.88
2015-02-24,888.69,888.69,888.69,888.69,000,888.69
2015-02-20,910.42,910.42,910.42,910.42,000,910.42
2015-02-19,906.51,906.51,906.51,906.51,000,906.51
2015-02-18,929.35,929.35,929.35,929.35,000,929.35
2015-02-17,894.61,894.61,894.61,894.61,000,894.61
2015-02-16,897.35,897.35,897.35,897.35,000,897.35
2015-02-13,914.05,914.05,914.05,914.05,000,914.05
2015-02-12,861.93,861.93,861.93,861.93,000,861.93
2015-02-11,832.33,832.33,832.33,832.33,000,832.33
2015-02-10,825.89,825.89,825.89,825.89,000,825.89
2015-02-09,840.48,840.48,840.48,840.48,000,840.48
2015-02-06,826.40,826.40,826.40,826.40,000,826.40
2015-02-05,804.50,804.50,804.50,804.50,000,804.50
2015-02-04,770.63,770.63,770.63,770.63,000,770.63
2015-02-03,786.69,786.69,786.69,786.69,000,786.69
2015-02-02,745.82,745.82,745.82,745.82,000,745.82
2015-01-30,737.35,737.35,737.35,737.35,000,737.35
2015-01-29,747.45,747.45,747.45,747.45,000,747.45
2015-01-28,765.37,765.37,765.37,765.37,000,765.37
2015-01-27,783.53,783.53,783.53,783.53,000,783.53
2015-01-26,781.31,781.31,781.31,781.31,000,781.31
2015-01-23,820.99,820.99,820.99,820.99,000,820.99
2015-01-22,817.14,817.14,817.14,817.14,000,817.14
2015-01-21,782.13,782.13,782.13,782.13,000,782.13
2015-01-20,756.27,756.27,756.27,756.27,000,756.27
2015-01-19,766.57,766.57,766.57,766.57,000,766.57
2015-01-16,769.80,769.80,769.80,769.80,000,769.80
2015-01-15,762.39,762.39,762.39,762.39,000,762.39
2015-01-14,743.06,743.06,743.06,743.06,000,743.06
2015-01-13,737.88,737.88,737.88,737.88,000,737.88
2015-01-12,756.63,756.63,756.63,756.63,000,756.63
2015-01-09,782.62,782.62,782.62,782.62,000,782.62
2015-01-08,812.02,812.02,812.02,812.02,000,812.02
2015-01-06,746.48,746.48,746.48,746.48,000,746.48
2015-01-05,761.30,761.30,761.30,761.30,000,761.30
